k,sigma,accuracy_baseline,accuracy_obfuscated,accuracy_gap,n,epochs,seed
0,0.0100,61.3534,64.8956,-3.5422,5050,50,42
0,0.0500,61.3534,71.3455,-9.9921,5050,50,42
0,0.1000,61.3534,67.1425,-5.7891,5050,50,42
0,0.5000,61.3534,42.9553,18.3981,5050,50,42
1,0.0100,61.3534,69.1515,-7.7981,5050,50,42
1,0.0500,61.3534,69.2043,-7.8509,5050,50,42
1,0.1000,61.3534,67.0367,-5.6833,5050,50,42
1,0.5000,61.3534,42.2945,19.0589,5050,50,42
5,0.0100,61.3534,68.5170,-7.1636,5050,50,42
5,0.0500,61.3534,66.5874,-5.2340,5050,50,42
5,0.1000,61.3534,64.2083,-2.8549,5050,50,42
5,0.5000,61.3534,43.0346,18.3188,5050,50,42
