k,sigma,n_targets,n_trials,h_plus_win_rate,h_plus_win_se,score_half,score_int,score_half_std,score_int_std,always_h_plus_half,always_h_plus_int,random_baseline_half,random_baseline_int,mean_delta,std_delta
0,0.010000,50,10,0.580000,0.069800,0.667500,0.626250,0.394828,0.442558,1.000000,1.000000,0.000294,0.000105,5309177053.088125,83124782393.722122
0,0.050000,50,10,0.540000,0.070484,0.629375,0.592500,0.407642,0.445505,1.000000,1.000000,0.000289,0.000105,35332808.759763,3187381610.996617
0,0.100000,50,10,0.480000,0.070654,0.580000,0.522500,0.407793,0.460428,1.000000,1.000000,0.000330,0.000105,32102253.898460,770679755.755067
0,0.500000,50,10,0.600000,0.069282,0.695625,0.658750,0.376342,0.420232,1.000000,1.000000,0.000309,0.000105,7826597.876555,26417445.849155
1,0.010000,50,10,0.560000,0.070200,0.650000,0.611250,0.399414,0.443405,1.000000,1.000000,0.000294,0.000105,-59604212.508575,4812284351.219948
1,0.050000,50,10,0.420000,0.069800,0.521875,0.472500,0.412749,0.453831,1.000000,1.000000,0.000289,0.000105,-20711517.383762,192483917.693291
1,0.100000,50,10,0.440000,0.070200,0.556250,0.492500,0.397600,0.451671,1.000000,1.000000,0.000330,0.000105,-1371633.215350,38170653.816596
1,0.500000,50,10,0.560000,0.070200,0.658750,0.616250,0.388298,0.435712,1.000000,1.000000,0.000309,0.000105,468233.748330,1884192.065351
5,0.010000,50,10,0.520000,0.070654,0.615000,0.577500,0.404682,0.444508,1.000000,1.000000,0.000294,0.000105,526689592.530249,5204753116.018942
5,0.050000,50,10,0.580000,0.069800,0.657500,0.622500,0.406344,0.446507,1.000000,1.000000,0.000289,0.000105,-1210018.034625,174902862.735804
5,0.100000,50,10,0.600000,0.069282,0.679375,0.631250,0.395424,0.452812,1.000000,1.000000,0.000330,0.000105,1481072.018767,40037560.400442
5,0.500000,50,10,0.520000,0.070654,0.629375,0.588750,0.389562,0.431583,1.000000,1.000000,0.000309,0.000105,-24090.149499,1801329.584853
