lag,rho,se
0,1.00000,0.00000
1,0.78322,0.00636
2,0.64342,0.00880
3,0.54123,0.01019
4,0.46223,0.01080
5,0.39835,0.01131
6,0.35006,0.01127
7,0.30571,0.01130
8,0.27069,0.01102
9,0.23724,0.01092
10,0.20796,0.01071
11,0.17952,0.01032
12,0.15585,0.00986
13,0.13005,0.00963
14,0.11061,0.00943
15,0.09311,0.00926
16,0.07581,0.00874
17,0.05793,0.00827
18,0.04297,0.00771
19,0.02700,0.00731
20,0.01443,0.00710
21,0.00053,0.00698
22,-0.01252,0.00682
23,-0.02546,0.00671
24,-0.03342,0.00671
25,-0.04397,0.00659
26,-0.05493,0.00618
27,-0.06517,0.00584
28,-0.07412,0.00568
29,-0.08363,0.00580
30,-0.09019,0.00616
