attack,k,sigma,auc_pooled,auc_perquery_mean,auc_perquery_std,tpr_at_fpr1pct,tpr_at_fpr1pct_interp,tpr_at_fpr0p1pct,tpr_at_fpr0p1pct_interp,advantage,n_members,n_nonmembers,n_queries
A1_within_clip,0,0.0,0.6096,0.6089,0.0893,0.0243,0.0243,0.0042,0.0042,0.1759,1440,7560,90
A3_sameclass,0,0.0,0.9805,0.992,0.0118,0.3854,0.3854,0.0813,0.0813,0.8948,1440,120864,90
A3_crossclass,0,0.0,0.9811,0.9848,0.0404,0.7451,0.7451,0.5847,0.5847,0.8479,1440,179976,90
A1_within_clip,0,0.01,0.6096,0.609,0.0893,0.0243,0.0243,0.0042,0.0042,0.1759,1440,7560,90
A3_sameclass,0,0.01,0.9805,0.992,0.0118,0.3854,0.3854,0.0813,0.0813,0.8948,1440,120864,90
A3_crossclass,0,0.01,0.9811,0.9848,0.0404,0.7451,0.7451,0.5847,0.5847,0.8479,1440,179976,90
A1_within_clip,0,0.05,0.6096,0.6089,0.0892,0.025,0.025,0.0042,0.0042,0.1757,1440,7560,90
A3_sameclass,0,0.05,0.9805,0.992,0.0119,0.3861,0.3861,0.0813,0.0813,0.8947,1440,120864,90
A3_crossclass,0,0.05,0.9811,0.9848,0.0403,0.7451,0.7451,0.5847,0.5847,0.8478,1440,179976,90
A1_within_clip,0,0.1,0.6096,0.6088,0.0893,0.0243,0.0243,0.0042,0.0042,0.1753,1440,7560,90
A3_sameclass,0,0.1,0.9805,0.992,0.012,0.3868,0.3868,0.0813,0.0813,0.8945,1440,120864,90
A3_crossclass,0,0.1,0.9811,0.9848,0.0404,0.7444,0.7444,0.584,0.584,0.8477,1440,179976,90
A1_within_clip,0,0.5,0.6106,0.6099,0.0895,0.0236,0.0236,0.0028,0.0028,0.1816,1440,7560,90
A3_sameclass,0,0.5,0.9806,0.992,0.0118,0.384,0.384,0.0819,0.0819,0.8977,1440,120864,90
A3_crossclass,0,0.5,0.9814,0.9851,0.0394,0.7451,0.7451,0.5826,0.5826,0.8487,1440,179976,90
A1_within_clip,0,2.0,0.6062,0.6049,0.0876,0.0257,0.0257,0.0049,0.0049,0.1674,1440,7560,90
A3_sameclass,0,2.0,0.9806,0.9923,0.0112,0.3799,0.3799,0.0861,0.0861,0.893,1440,120864,90
A3_crossclass,0,2.0,0.981,0.9847,0.0416,0.7326,0.7326,0.5868,0.5868,0.8491,1440,179976,90
A1_within_clip,1,0.0,0.5539,0.5496,0.0914,0.0292,0.0292,0.0076,0.0076,0.0932,1440,7560,90
A3_sameclass,1,0.0,0.9076,0.9042,0.1683,0.3736,0.3736,0.1271,0.1271,0.6916,1440,120864,90
A3_crossclass,1,0.0,0.904,0.9023,0.1782,0.5986,0.5986,0.4139,0.4139,0.699,1440,179988,90
A1_within_clip,1,0.01,0.554,0.5497,0.0914,0.0292,0.0292,0.0076,0.0076,0.093,1440,7560,90
A3_sameclass,1,0.01,0.9076,0.9042,0.1683,0.3736,0.3736,0.1271,0.1271,0.6915,1440,120864,90
A3_crossclass,1,0.01,0.9039,0.9023,0.1782,0.5986,0.5986,0.4132,0.4132,0.6993,1440,179988,90
A1_within_clip,1,0.05,0.5542,0.5494,0.0916,0.0278,0.0278,0.009,0.009,0.093,1440,7560,90
A3_sameclass,1,0.05,0.9076,0.9041,0.1684,0.3736,0.3736,0.1257,0.1257,0.6924,1440,120864,90
A3_crossclass,1,0.05,0.9037,0.9022,0.1783,0.5986,0.5986,0.4139,0.4139,0.698,1440,179988,90
A1_within_clip,1,0.1,0.5541,0.5495,0.0917,0.0319,0.0319,0.009,0.009,0.0934,1440,7560,90
A3_sameclass,1,0.1,0.9076,0.9042,0.1683,0.3708,0.3708,0.1278,0.1278,0.6923,1440,120864,90
A3_crossclass,1,0.1,0.9038,0.9021,0.1783,0.5986,0.5986,0.4125,0.4125,0.698,1440,179988,90
A1_within_clip,1,0.5,0.5526,0.5472,0.0961,0.034,0.034,0.0083,0.0083,0.0965,1440,7560,90
A3_sameclass,1,0.5,0.9077,0.9051,0.1686,0.3875,0.3875,0.1306,0.1306,0.691,1440,120864,90
A3_crossclass,1,0.5,0.9042,0.9025,0.1778,0.5979,0.5979,0.4097,0.4097,0.6994,1440,179988,90
A1_within_clip,1,2.0,0.5526,0.5475,0.0931,0.025,0.025,0.0056,0.0056,0.0855,1440,7560,90
A3_sameclass,1,2.0,0.9054,0.8978,0.1704,0.3896,0.3896,0.0931,0.0931,0.6743,1440,120864,90
A3_crossclass,1,2.0,0.9003,0.8982,0.1787,0.5868,0.5868,0.3708,0.3708,0.6895,1440,179988,90
A1_within_clip,5,0.0,0.5843,0.5827,0.0943,0.025,0.025,0.0049,0.0049,0.1313,1440,7560,90
A3_sameclass,5,0.0,0.9795,0.9882,0.02,0.3875,0.3875,0.116,0.116,0.9057,1440,120864,90
