k,sigma,mi_bound_per_n,mi_bound_total,n_rows
0,0.01000,239.67350,1210351.18541,5050
0,0.05000,158.18129,798815.50871,5050
0,0.10000,123.33672,622850.41082,5050
0,0.25000,78.78641,397871.37265,5050
0,0.50000,48.97503,247323.90778,5050
0,1.00000,26.30632,132846.93084,5050
1,0.01000,118.47251,1208538.05187,10201
1,0.05000,78.13183,797022.76612,10201
1,0.10000,60.88805,621118.98419,10201
1,0.25000,38.86758,396488.15801,10201
1,0.50000,24.17441,246603.16290,10201
1,1.00000,13.02067,132823.84886,10201
5,0.01000,101.00162,1030317.53296,10201
5,0.05000,60.84040,620632.91140,10201
5,0.10000,44.11282,449994.91970,10201
5,0.25000,24.59030,250845.66015,10201
5,0.50000,13.80708,140845.99623,10201
5,1.00000,6.95580,70956.13067,10201
