k,sigma,leak,acc,leak_red,acc_gap
0,0.0100,0.8350,64.8059,0.0000,4.6159
0,0.0500,0.7512,72.3452,10.0299,12.1552
0,0.1000,0.7150,68.2387,14.3713,8.0487
0,0.5000,0.7100,30.5422,14.9701,-29.6478
1,0.0100,0.5650,70.0032,32.3353,9.8132
1,0.0500,0.6575,68.3670,21.2575,8.1770
1,0.1000,0.4387,66.6025,47.4551,6.4125
1,0.5000,0.4250,42.8296,49.1018,-17.3604
5,0.0100,0.7963,66.9233,4.6407,6.7333
5,0.0500,0.7150,66.6667,14.3713,6.4767
5,0.1000,0.6475,64.9342,22.4551,4.7442
5,0.5000,0.6425,43.9525,23.0539,-16.2375
