distance,rho_0.00,rho_0.30,rho_0.60,rho_0.80,rho_0.90,rho_0.95
0,1.21450,1.16546,0.98519,0.75142,0.51815,0.29542
1,-0.26636,0.02438,0.33411,0.34217,0.28643,0.19167
2,-0.29663,-0.24680,-0.15053,-0.05009,0.04388,0.07398
3,-0.27362,-0.48958,-0.46418,-0.34546,-0.28124,-0.01376
4,-0.28017,-0.54712,-0.65169,-0.60151,-0.45648,-0.12202
5,-0.41460,-0.47480,-0.77129,-0.78143,-0.55838,-0.31443
6,-0.02550,-0.34500,-0.82426,-0.77184,-0.63229,-0.65871
7,-0.29905,-0.47116,-0.76309,-0.82392,-0.96235,-0.92006
8,-0.58294,-0.72554,-1.03653,-0.95650,-1.01910,-1.12614
9,-0.46615,-0.63965,-1.16249,-1.01429,-1.00903,-1.00200
10,-0.29459,-0.93145,-1.16091,-1.14958,-1.25228,-1.66997
11,0.46667,-0.83422,-0.83226,-1.13499,-1.39947,-0.89772
12,-0.19234,-0.89308,-1.13116,-1.03077,-1.52724,0.00000
